   10000301  7.36E-08     0.644     0.000     0.000     0.000 100000
 REAC,CROSS(mb),B. MOM,  A1,    A2,    A3, # EVENTS
   1    0.1764   -0.0003    0.6172 14
   2   -0.1764    0.0003    0.0272614
       1660       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816   -0.0007    0.6155 14
   2   -0.1816    0.0007    0.0289614
       1661       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785   -0.0008    0.6166 14
   2   -0.1785    0.0008    0.0279614
       1662       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0003    0.6161 14
   2   -0.1800    0.0003    0.0284614
       1663       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0009    0.6162 14
   2   -0.1796    0.0009    0.0283614
       1664       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0008    0.6162 14
   2   -0.1795   -0.0008    0.0282614
       1665       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774    0.0007    0.6169 14
   2   -0.1774   -0.0007    0.0276614
       1666       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0004    0.6157 14
   2   -0.1811    0.0004    0.0288614
       1667       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0000    0.6164 14
   2   -0.1789    0.0000    0.0280614
       1668       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800    0.0003    0.6161 14
   2   -0.1800   -0.0003    0.0284614
       1669       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810    0.0003    0.6157 14
   2   -0.1810   -0.0003    0.0287614
       1670       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795   -0.0005    0.6162 14
   2   -0.1795    0.0005    0.0282614
       1671       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0004    0.6161 14
   2   -0.1800    0.0004    0.0284614
       1672       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0005    0.6156 14
   2   -0.1813   -0.0005    0.0288614
       1673       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782   -0.0009    0.6166 14
   2   -0.1782    0.0009    0.0278614
       1674       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0004    0.6162 14
   2   -0.1797   -0.0004    0.0283614
       1675       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0001    0.6155 14
   2   -0.1816   -0.0001    0.0289614
       1676       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0009    0.6157 14
   2   -0.1811    0.0009    0.0287614
       1677       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811    0.0002    0.6157 14
   2   -0.1811   -0.0002    0.0288614
       1678       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1798    0.0005    0.6161 14
   2   -0.1798   -0.0005    0.0283614
       1679       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764    0.0000    0.6172 14
   2   -0.1764   -0.0000    0.0272614
       1680       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788   -0.0004    0.6165 14
   2   -0.1788    0.0004    0.0280614
       1681       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776   -0.0007    0.6168 14
   2   -0.1776    0.0007    0.0276614
       1682       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0002    0.6162 14
   2   -0.1795   -0.0002    0.0282614
       1683       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0003    0.6172 14
   2   -0.1765    0.0003    0.0273614
       1684       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0006    0.6163 14
   2   -0.1791   -0.0006    0.0281614
       1685       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1812    0.0005    0.6157 14
   2   -0.1812   -0.0005    0.0288614
       1686       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1762    0.0007    0.6173 14
   2   -0.1762   -0.0007    0.0272614
       1687       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0000    0.6172 14
   2   -0.1763    0.0000    0.0272614
       1688       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0007    0.6171 14
   2   -0.1768    0.0007    0.0274614
       1689       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807   -0.0003    0.6158 14
   2   -0.1807    0.0003    0.0286614
       1690       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0008    0.6160 14
   2   -0.1800    0.0008    0.0284614
       1691       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0000    0.6162 14
   2   -0.1797   -0.0000    0.0283614
       1692       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0005    0.6155 14
   2   -0.1818   -0.0005    0.0290614
       1693       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768    0.0004    0.6171 14
   2   -0.1768   -0.0004    0.0274614
       1694       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764    0.0000    0.6172 14
   2   -0.1764   -0.0000    0.0272614
       1695       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779    0.0006    0.6167 14
   2   -0.1779   -0.0006    0.0277614
       1696       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0005    0.6172 14
   2   -0.1763   -0.0005    0.0272614
       1697       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819    0.0008    0.6154 14
   2   -0.1819   -0.0008    0.0290614
       1698       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802   -0.0005    0.6160 14
   2   -0.1802    0.0005    0.0285614
       1699       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1812    0.0009    0.6157 14
   2    0.1812   -0.0009    0.0288614
       1700       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766   -0.0008    0.6172 14
   2   -0.1766    0.0008    0.0273614
       1701       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0007    0.6154 14
   2   -0.1820   -0.0007    0.0291614
       1702       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0000    0.6158 14
   2   -0.1809   -0.0000    0.0287614
       1703       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1760   -0.0001    0.6173 14
   2   -0.1760    0.0001    0.0271614
       1704       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0001    0.6157 14
   2   -0.1811    0.0001    0.0287614
       1705       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1797    0.0000    0.6161 14
   2    0.1797   -0.0000    0.0283614
       1706       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0003    0.6160 14
   2   -0.1802   -0.0003    0.0284614
       1707       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801    0.0002    0.6160 14
   2   -0.1801   -0.0002    0.0284614
       1708       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790   -0.0006    0.6164 14
   2   -0.1790    0.0006    0.0281614
       1709       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818   -0.0001    0.6155 14
   2   -0.1818    0.0001    0.0290614
       1710       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0001    0.6157 14
   2   -0.1811    0.0001    0.0287614
       1711       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0003    0.6165 14
   2   -0.1786   -0.0003    0.0279614
       1712       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0000    0.6162 14
   2   -0.1796    0.0000    0.0283614
       1713       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0006    0.6167 14
   2   -0.1779    0.0006    0.0277614
       1714       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0008    0.6172 14
   2   -0.1763   -0.0008    0.0272614
       1715       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1799   -0.0004    0.6161 14
   2    0.1799    0.0004    0.0284614
       1716       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0001    0.6167 14
   2   -0.1780   -0.0001    0.0277614
       1717       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0001    0.6172 14
   2   -0.1765   -0.0001    0.0273614
       1718       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0006    0.6165 14
   2   -0.1786   -0.0006    0.0279614
       1719       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0008    0.6161 14
   2   -0.1797    0.0008    0.0283614
       1720       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799   -0.0008    0.6161 14
   2   -0.1799    0.0008    0.0284614
       1721       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1815   -0.0008    0.6156 14
   2   -0.1815    0.0008    0.0289614
       1722       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766   -0.0003    0.6172 14
   2   -0.1766    0.0003    0.0273614
       1723       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1819    0.0008    0.6155 14
   2    0.1819   -0.0008    0.0290614
       1724       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766   -0.0005    0.6171 14
   2   -0.1766    0.0005    0.0273614
       1725       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791   -0.0004    0.6163 14
   2   -0.1791    0.0004    0.0281614
       1726       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0006    0.6162 14
   2   -0.1794    0.0006    0.0282614
       1727       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0002    0.6159 14
   2   -0.1805   -0.0002    0.0285614
       1728       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0008    0.6172 14
   2   -0.1765    0.0008    0.0273614
       1729       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772    0.0002    0.6170 14
   2   -0.1772   -0.0002    0.0275614
       1730       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801   -0.0002    0.6160 14
   2   -0.1801    0.0002    0.0284614
       1731       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0004    0.6158 14
   2   -0.1809    0.0004    0.0287614
       1732       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761   -0.0008    0.6173 14
   2   -0.1761    0.0008    0.0271614
       1733       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767    0.0007    0.6171 14
   2   -0.1767   -0.0007    0.0273614
       1734       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0003    0.6173 14
   2   -0.1763   -0.0003    0.0272614
       1735       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0008    0.6164 14
   2   -0.1789    0.0008    0.0280614
       1736       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770    0.0002    0.6170 14
   2   -0.1770   -0.0002    0.0274614
       1737       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0005    0.6162 14
   2   -0.1797    0.0005    0.0283614
       1738       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774   -0.0000    0.6169 14
   2   -0.1774    0.0000    0.0275614
       1739       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0007    0.6162 14
   2   -0.1796    0.0007    0.0283614
       1740       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792    0.0005    0.6163 14
   2   -0.1792   -0.0005    0.0281614
       1741       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0004    0.6157 14
   2   -0.1810    0.0004    0.0287614
       1742       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0002    0.6158 14
   2   -0.1808   -0.0002    0.0287614
       1743       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0001    0.6169 14
   2   -0.1773   -0.0001    0.0275614
       1744       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0005    0.6169 14
   2   -0.1773   -0.0005    0.0275614
       1745       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1800   -0.0008    0.6160 14
   2    0.1800    0.0008    0.0284614
       1746       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807    0.0005    0.6158 14
   2   -0.1807   -0.0005    0.0286614
       1747       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1781    0.0005    0.6167 14
   2   -0.1781   -0.0005    0.0278614
       1748       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0005    0.6155 14
   2   -0.1816   -0.0005    0.0289614
       1749       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770   -0.0006    0.6170 14
   2   -0.1770    0.0006    0.0274614
       1750       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0007    0.6159 14
   2   -0.1804    0.0007    0.0285614
       1751       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0006    0.6171 14
   2   -0.1768    0.0006    0.0274614
       1752       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784    0.0004    0.6166 14
   2   -0.1784   -0.0004    0.0279614
       1753       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801    0.0003    0.6160 14
   2   -0.1801   -0.0003    0.0284614
       1754       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1812   -0.0003    0.6157 14
   2   -0.1812    0.0003    0.0288614
       1755       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0004    0.6173 14
   2   -0.1761   -0.0004    0.0271614
       1756       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806    0.0003    0.6159 14
   2   -0.1806   -0.0003    0.0286614
       1757       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787   -0.0004    0.6165 14
   2   -0.1787    0.0004    0.0280614
       1758       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788    0.0000    0.6164 14
   2   -0.1788   -0.0000    0.0280614
       1759       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817    0.0008    0.6155 14
   2   -0.1817   -0.0008    0.0289614
       1760       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0006    0.6155 14
   2   -0.1816   -0.0006    0.0289614
       1761       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0006    0.6166 14
   2   -0.1784    0.0006    0.0279614
       1762       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778   -0.0003    0.6168 14
   2   -0.1778    0.0003    0.0277614
       1763       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1793   -0.0002    0.6163 14
   2   -0.1793    0.0002    0.0282614
       1764       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0004    0.6165 14
   2   -0.1786   -0.0004    0.0279614
       1765       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0001    0.6164 14
   2   -0.1791   -0.0001    0.0281614
       1766       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1781   -0.0006    0.6167 14
   2    0.1781    0.0006    0.0278614
       1767       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1777   -0.0007    0.6168 14
   2    0.1777    0.0007    0.0277614
       1768       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820   -0.0006    0.6154 14
   2   -0.1820    0.0006    0.0290614
       1769       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0004    0.6163 14
   2   -0.1794   -0.0004    0.0282614
       1770       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775   -0.0006    0.6169 14
   2   -0.1775    0.0006    0.0276614
       1771       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810    0.0006    0.6157 14
   2   -0.1810   -0.0006    0.0287614
       1772       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803    0.0007    0.6159 14
   2   -0.1803   -0.0007    0.0285614
       1773       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796    0.0001    0.6162 14
   2   -0.1796   -0.0001    0.0283614
       1774       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0004    0.6159 14
   2   -0.1805    0.0004    0.0286614
       1775       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0005    0.6161 14
   2   -0.1797   -0.0005    0.0283614
       1776       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775    0.0003    0.6169 14
   2   -0.1775   -0.0003    0.0276614
       1777       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787    0.0006    0.6165 14
   2   -0.1787   -0.0006    0.0280614
       1778       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0006    0.6173 14
   2   -0.1761   -0.0006    0.0271614
       1779       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0005    0.6158 14
   2   -0.1809    0.0005    0.0287614
       1780       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806    0.0001    0.6159 14
   2   -0.1806   -0.0001    0.0286614
       1781       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0004    0.6156 14
   2   -0.1813   -0.0004    0.0288614
       1782       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814    0.0006    0.6156 14
   2   -0.1814   -0.0006    0.0288614
       1783       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788    0.0006    0.6164 14
   2   -0.1788   -0.0006    0.0280614
       1784       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0005    0.6171 14
   2   -0.1769   -0.0005    0.0274614
       1785       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0009    0.6157 14
   2   -0.1811    0.0009    0.0287614
       1786       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1798   -0.0007    0.6161 14
   2   -0.1798    0.0007    0.0283614
       1787       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0003    0.6166 14
   2   -0.1784    0.0003    0.0279614
       1788       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0005    0.6167 14
   2   -0.1780   -0.0005    0.0278614
       1789       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778   -0.0005    0.6168 14
   2   -0.1778    0.0005    0.0277614
       1790       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1820   -0.0002    0.6154 14
   2    0.1820    0.0002    0.0290614
       1791       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784    0.0000    0.6166 14
   2   -0.1784   -0.0000    0.0279614
       1792       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814    0.0002    0.6156 14
   2   -0.1814   -0.0002    0.0288614
       1793       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1760   -0.0007    0.6173 14
   2    0.1760    0.0007    0.0271614
       1794       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1770   -0.0001    0.6170 14
   2    0.1770    0.0001    0.0274614
       1795       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785    0.0007    0.6166 14
   2   -0.1785   -0.0007    0.0279614
       1796       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0005    0.6157 14
   2   -0.1811    0.0005    0.0287614
       1797       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813   -0.0003    0.6156 14
   2   -0.1813    0.0003    0.0288614
       1798       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0009    0.6171 14
   2   -0.1768    0.0009    0.0274614
       1799       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792    0.0004    0.6163 14
   2   -0.1792   -0.0004    0.0281614
       1800       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818   -0.0007    0.6155 14
   2   -0.1818    0.0007    0.0290614
       1801       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1821   -0.0006    0.6154 14
   2   -0.1821    0.0006    0.0291614
       1802       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799    0.0004    0.6161 14
   2   -0.1799   -0.0004    0.0284614
       1803       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1793   -0.0001    0.6163 14
   2   -0.1793    0.0001    0.0282614
       1804       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0004    0.6154 14
   2   -0.1820   -0.0004    0.0290614
       1805       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801   -0.0007    0.6160 14
   2   -0.1801    0.0007    0.0284614
       1806       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785   -0.0001    0.6165 14
   2   -0.1785    0.0001    0.0279614
       1807       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772    0.0008    0.6169 14
   2   -0.1772   -0.0008    0.0275614
       1808       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761   -0.0008    0.6173 14
   2   -0.1761    0.0008    0.0271614
       1809       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801    0.0004    0.6160 14
   2   -0.1801   -0.0004    0.0284614
       1810       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799    0.0002    0.6161 14
   2   -0.1799   -0.0002    0.0284614
       1811       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1789    0.0007    0.6164 14
   2    0.1789   -0.0007    0.0280614
       1812       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1792    0.0006    0.6163 14
   2    0.1792   -0.0006    0.0281614
       1813       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0009    0.6164 14
   2   -0.1789   -0.0009    0.0280614
       1814       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0003    0.6170 14
   2   -0.1769   -0.0003    0.0274614
       1815       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773   -0.0008    0.6169 14
   2   -0.1773    0.0008    0.0275614
       1816       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773   -0.0004    0.6169 14
   2   -0.1773    0.0004    0.0275614
       1817       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774    0.0003    0.6169 14
   2   -0.1774   -0.0003    0.0275614
       1818       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1801   -0.0007    0.6160 14
   2    0.1801    0.0007    0.0284614
       1819       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1781    0.0003    0.6167 14
   2   -0.1781   -0.0003    0.0278614
       1820       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0004    0.6167 14
   2   -0.1779    0.0004    0.0277614
       1821       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0006    0.6167 14
   2   -0.1780   -0.0006    0.0278614
       1822       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0003    0.6155 14
   2   -0.1816   -0.0003    0.0289614
       1823       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0002    0.6162 14
   2   -0.1794   -0.0002    0.0282614
       1824       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0001    0.6162 14
   2   -0.1797    0.0001    0.0283614
       1825       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0005    0.6159 14
   2   -0.1805   -0.0005    0.0286614
       1826       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1801    0.0001    0.6160 14
   2    0.1801   -0.0001    0.0284614
       1827       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0007    0.6157 14
   2   -0.1810    0.0007    0.0287614
       1828       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0004    0.6170 14
   2   -0.1771   -0.0004    0.0274614
       1829       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776   -0.0005    0.6168 14
   2   -0.1776    0.0005    0.0276614
       1830       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0002    0.6162 14
   2   -0.1794    0.0002    0.0282614
       1831       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0005    0.6164 14
   2   -0.1789   -0.0005    0.0280614
       1832       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761   -0.0003    0.6173 14
   2   -0.1761    0.0003    0.0271614
       1833       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0007    0.6167 14
   2   -0.1779    0.0007    0.0277614
       1834       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0001    0.6158 14
   2   -0.1809    0.0001    0.0287614
       1835       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1791   -0.0000    0.6163 14
   2    0.1791    0.0000    0.0281614
       1836       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0001    0.6166 14
   2   -0.1782   -0.0001    0.0278614
       1837       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767    0.0006    0.6171 14
   2   -0.1767   -0.0006    0.0273614
       1838       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1801    0.0000    0.6160 14
   2    0.1801   -0.0000    0.0284614
       1839       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808   -0.0001    0.6158 14
   2   -0.1808    0.0001    0.0286614
       1840       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785   -0.0004    0.6166 14
   2   -0.1785    0.0004    0.0279614
       1841       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0000    0.6158 14
   2   -0.1808   -0.0000    0.0286614
       1842       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817   -0.0000    0.6155 14
   2   -0.1817    0.0000    0.0289614
       1843       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1777   -0.0003    0.6168 14
   2    0.1777    0.0003    0.0276614
       1844       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786   -0.0006    0.6165 14
   2   -0.1786    0.0006    0.0279614
       1845       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780   -0.0005    0.6167 14
   2   -0.1780    0.0005    0.0278614
       1846       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804    0.0007    0.6159 14
   2   -0.1804   -0.0007    0.0285614
       1847       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0000    0.6164 14
   2   -0.1789    0.0000    0.0280614
       1848       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775   -0.0005    0.6169 14
   2   -0.1775    0.0005    0.0276614
       1849       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771   -0.0005    0.6170 14
   2   -0.1771    0.0005    0.0275614
       1850       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0006    0.6171 14
   2   -0.1768    0.0006    0.0274614
       1851       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0006    0.6162 14
   2   -0.1796    0.0006    0.0282614
       1852       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800    0.0001    0.6161 14
   2   -0.1800   -0.0001    0.0284614
       1853       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0005    0.6166 14
   2   -0.1782   -0.0005    0.0278614
       1854       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0009    0.6160 14
   2   -0.1803    0.0009    0.0285614
       1855       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0006    0.6162 14
   2   -0.1795   -0.0006    0.0282614
       1856       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0009    0.6172 14
   2   -0.1763   -0.0009    0.0272614
       1857       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796    0.0004    0.6162 14
   2   -0.1796   -0.0004    0.0283614
       1858       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816   -0.0000    0.6155 14
   2   -0.1816    0.0000    0.0289614
       1859       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0008    0.6155 14
   2   -0.1816   -0.0008    0.0289614
       1860       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0008    0.6159 14
   2   -0.1803    0.0008    0.0285614
       1861       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0004    0.6164 14
   2   -0.1791   -0.0004    0.0281614
       1862       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0008    0.6159 14
   2   -0.1805    0.0008    0.0286614
       1863       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777    0.0006    0.6168 14
   2   -0.1777   -0.0006    0.0277614
